abruptly ; plötzlich / abrupt
abundant ; reichlich / im Überfluss
accidentally ; versehentlich
accurate ; genau / präzise
accustomed ; gewohnt
adequate ; angemessen / ausreichend
admittedly ; zugegebenermaßen
adverse ; nachteilig / widrig
aimlessly ; ziellos
allegedly ; angeblich
ambiguous ; zweideutig / mehrdeutig
ambitious ; ehrgeizig
annually ; jährlich
apparent ; offensichtlich / scheinbar
arbitrary ; willkürlich
arguably ; wohl / streitbar
arrogant ; überheblich
astonishing ; erstaunlich
awkward ; ungeschick / peinlich
barely ; kaum
beneficial ; vorteilhaft / nützlich
biased ; voreingenommen / parteiisch
bizarre ; seltsam / skurril
brave ; tapfer / mutig
briefly ; kurz / flüchtig
brilliant ; glänzend / genial
broadly ; weitgehend / im Großen und Ganzen
candid ; offen / ehrlich
capable ; fähig / kompetent
carelessly ; nachlässig
cautious ; vorsichtig / umsichtig
ceaseless ; unaufhörlich
challenging ; herausfordernd
charming ; charmant / bezaubernd
clumsy ; tollpatschig / ungeschickt
coherent ; schlüssig / zusammenhängend
coincidentally ; zufällig
compelling ; fesselnd / zwingend
competitive ; wettbewerbsfähig / konkurrierend
comprehensive ; umfassend
conceivable ; denkbar
concerned ; besorgt / betroffen
consequently ; folglich
considerable ; beträchtlich
consistently ; beständig / konsequent
constantly ; ständig
controversial ; umstritten
conventional ; herkömmlich / konventionell
convincing ; überzeugend
crucial ; entscheidend / wesentlich
curious ; neugierig
currently ; aktuell / derzeit
cynical ; zynisch
daily ; täglich
daunting ; entmutigend / abschreckend
decent ; anständig / ordentlich
decisive ; entscheidend / bestimmend
dedicated ; engagiert / gewidmet
deeply ; zutiefst
definitely ; definitiv / bestimmt
deliberate ; absichtlich / bewusst
delicate ; zart / empfindlich
demanding ; anspruchsvoll
dense ; dicht
dependable ; zuverlässig
desperate ; verzweifelt
detrimental ; schädlich / nachteilig
devastating ; verheerend
different ; anders / unterschiedlich
dim ; schummrig / trübe
disastrous ; katastrophal
distinct ; deutlich / verschieden
disturbing ; beunruhigend / störend
doubtful ; zweifelhaft
drastic ; drastisch
dreadful ; furchtbar / schrecklich
dull ; stumpf / langweilig
eager ; eifrig / begierig
early ; früh
earnest ; ernsthaft
efficient ; effizient
